id,age00,education,marital,gender,ethnic,industry,income00
0,51.965,17,0,1,0,5,76110.0
1,41.807,12,1,0,0,1,43216.0
2,36.331,12,1,0,1,3,52118.0
3,56.758,9,1,1,2,2,47770.0
4,31.051,14,0,0,0,0,34197.0
5,38.566,16,1,0,1,3,47409.0
6,33.908,14,0,1,1,0,29312.0
7,30.427,16,1,0,0,0,28161.0
8,47.262,16,2,0,2,1,37783.0
9,46.042,16,1,0,1,1,34490.0
10,47.074,16,0,1,2,5,70042.0
11,41.847,18,1,0,1,1,34447.0
12,52.254,12,1,0,1,5,92834.0
13,38.679,16,1,1,2,1,45089.0
14,52.662,14,1,0,0,7,118033.0
15,36.542,11,2,0,2,5,77203.0
16,45.266,12,1,1,0,0,27667.0
17,37.33,16,0,1,2,7,129729.0
18,38.109,19,2,0,0,0,24791.0
19,36.564,14,0,1,0,4,54484.0
20,50.081,17,0,0,1,0,28722.0
21,56.908,13,3,1,0,6,116690.0
22,45.678,17,1,0,1,1,27086.0
23,42.226,16,0,1,1,5,72511.0
24,36.883,20,1,1,0,4,74495.0
25,33.349,11,1,0,0,1,28482.0
26,52.475,16,0,0,1,6,81115.0
27,48.411,12,1,0,2,6,69597.0
28,48.199,17,0,1,1,4,49839.0
29,59.2,17,1,0,2,5,65212.0
30,58.395,16,2,1,1,3,40759.0
31,45.061,16,1,0,1,3,45851.0
32,44.847,12,0,0,2,5,64317.0
33,48.881,9,1,1,0,0,27625.0
34,40.123,18,1,0,1,0,30986.0
35,33.745,18,2,0,2,6,85817.0
36,54.07,17,1,0,0,1,37700.0
37,51.855,18,0,1,0,7,134363.0
38,31.226,16,1,1,1,4,67915.0
39,38.472,20,0,1,1,4,63504.0
40,35.542,18,2,1,2,2,42694.0
41,48.444,17,1,0,2,1,30046.0
42,57.725,12,0,0,1,2,48540.0
43,54.937,16,1,0,0,3,52517.0
44,58.597,12,1,0,2,0,28203.0
45,35.992,16,0,0,1,2,43426.0
46,37.466,16,0,1,2,6,91656.0
